species001	Plasmodium falciparum	Plasmodium falciparum
species352	F. graminearum	Fusarium graminearum
species352	Fusarium species	Fusarium species
species356	Streptococcus mutans	Streptococcus mutans
species357	E. faecium	Enterococcus faecium
species357	Enterococcus faecium	Enterococcus faecium
species358	Paramecium caudatum	Paramecium caudatum
species359	P. aeruginosa	Pseudomonas aeruginosa
species359	Pseudomonas aeruginosa	Pseudomonas aeruginosa
species361	Streptococcus suis	Streptococcus suis
species363	Pinus sylvestris	Pinus sylvestris
species369	Eciton burchellii	Eciton burchellii
species369	Labidus praedator	Labidus praedator
species371	Alces alces	Alces alces
species375	S. cerevisiae	Saccharomyces cerevisiae
species375	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species376	A. pernix	Aeropyrum pernix
species376	Aeropyrum pernix	Aeropyrum pernix
species376	Sulfolobus solfataricus	Sulfolobus solfataricus
species377	A. xylosoxidans	Achromobacter xylosoxidans
species377	Achromobacter xylosoxidans	Achromobacter xylosoxidans
species379	B. subtilis	Bacillus subtilis
species379	Bacillus subtilis	Bacillus subtilis
species380	Escherichia coli	Escherichia coli
species380	Shigella boydii	Shigella boydii
species381	Bacillus subtilis	Bacillus subtilis
species382	Chlamydia spp.	Chlamydia spp.
species382	Chlamydia trachomatis	Chlamydia trachomatis
species383	E. coli	Escherichia coli
species383	Escherichia coli	Escherichia coli
species384	E. coli	Escherichia coli
species384	Escherichia coli	Escherichia coli
species385	M. acetivorans	Methanosarcina acetivorans
species385	M. maripaludis	Methanococcus maripaludis
species385	Methanocaldococcus jannaschii	Methanocaldococcus jannaschii
species385	Methanococcus maripaludis	Methanococcus maripaludis
species385	Methanosarcina acetivorans	Methanosarcina acetivorans
species385	Methanothermobacter thermoautotrophicus	Methanothermobacter thermoautotrophicus
species388	Escherichia coli	Escherichia coli
species388	P. aeruginosa	Pseudomonas aeruginosa
species388	Pseudomonas aeruginosa	Pseudomonas aeruginosa
species390	Escherichia coli	Escherichia coli
species391	Pseudomonas aeruginosa	Pseudomonas aeruginosa
species397	S. macrospora	Sordaria macrospora
species397	Sordaria macrospora	Sordaria macrospora
species398	F. graminearum	Fusarium graminearum
species398	F. louisianense	Fusarium louisianense
species398	F. nepalense	Fusarium nepalense
species398	Fusarium asiaticum	Fusarium asiaticum
species398	Fusarium gerlachii	Fusarium gerlachii
species398	Fusarium graminearum	Fusarium graminearum
species398	Fusarium louisianense	Fusarium louisianense
species398	Fusarium nepalense	Fusarium nepalense
species398	Fusarium ussurianum	Fusarium ussurianum
species400	Alces alces	Alces alces
species402	Zea mays	Zea mays
species403	C. albicans	Candida albicans
species403	Candida albicans	Candida albicans
species404	A. fumigatus	Aspergillus fumigatus
species404	A. nidulans	Aspergillus nidulans
species404	Aspergillus fumigatus	Aspergillus fumigatus
species404	Aspergillus nidulans	Aspergillus nidulans
species405	Asplanchna priodonta	Asplanchna priodonta
species405	D. biwae	Difflugia biwae
species405	D. hydrostatica	Difflugia hydrostatica
species405	D. mulanensis	Difflugia mulanensis
species405	D. tuberspinifera	Difflugia tuberspinifera
species405	Ploesoma hudsoni	Ploesoma hudsoni
species405	Stentor sp.	Stentor sp.
species406	Colpoda cucullus	Colpoda cucullus
species408	A. nidulans	Aspergillus nidulans
species408	Aspergillus nidulans	Aspergillus nidulans
species410	Parus major	Parus major
species411	Tetrahymena thermophila	Tetrahymena thermophila
species414	P. pentaurelia	Paramecium pentaurelia
species414	Paramecium aurelia	Paramecium aurelia
species414	Paramecium pentaurelia	Paramecium pentaurelia
species415	Mingxiaea foliicola	Mingxiaea foliicola
species415	Mingxiaea hainanensis	Mingxiaea hainanensis
species415	Mingxiaea sanyaensis	Mingxiaea sanyaensis
species415	Mingxiaea variabilis	Mingxiaea variabilis
species415	Mingxiaea wuzhishanensis	Mingxiaea wuzhishanensis
species417	A. fumigatus	Aspergillus fumigatus
species417	A. niger	Aspergillus niger
species417	Aspergillus niger	Aspergillus niger
species420	Glossina spp.	Glossina spp.
species420	Glossinia pallidipes	Glossinia pallidipes
species420	Merodon equestris	Merodon equestris
species420	Musca domestica	Musca domestica
species421	Alnus fruticosa	Alnus fruticosa
species421	Alnus species	Alnus species
species421	Cytospora umbrina	Cytospora umbrina
species421	Valsa melanodiscus	Valsa melanodiscus
species423	P. brassicae	Plasmodiophora brassicae
species423	Plasmodiophora brassicae	Plasmodiophora brassicae
species424	Amphidinium poecilochroum	Amphidinium poecilochroum
species424	G. myriopyrenoides	Gymnodinium myriopyrenoides
species424	Gymnodinium acidotum	Gymnodinium acidotum
species424	Gymnodinium myriopyrenoides	Gymnodinium myriopyrenoides
species425	Aspergillus oryzae	Aspergillus oryzae
species427	E. coli	Escherichia coli
species427	Escherichia coli	Escherichia coli
species427	P. mirabilis	Proteus mirabilis
species427	Proteus mirabilis	Proteus mirabilis
species428	A. arenaria	Ammophila arenaria
species428	Ammophila arenaria	Ammophila arenaria
species429	Metallosphaera sedula	Metallosphaera sedula
species430	Callosobruchus maculatus	Callosobruchus maculatus
species431	P. aeruginosa	Pseudomonas aeruginosa
species431	Pseudomonas aeruginosa	Pseudomonas aeruginosa
species433	Chlamydomonas reinhardtii	Chlamydomonas reinhardtii
species434	Casaurina glauca	Casaurina glauca
species434	Datisca glomerata	Datisca glomerata
species434	M. truncatula	Medicago truncatula
species434	Medicago truncatula	Medicago truncatula
species434	S. meliloti	Sinorhizobium meliloti
species434	Sinorhizobium meliloti	Sinorhizobium meliloti
species435	C. damasonium	Cephalanthera damasonium
species435	Cephalanthera damasonium	Cephalanthera damasonium
species436	Filoreta japonica	Filoreta japonica
species436	Paracercomonas marina	Paracercomonas marina
species436	Paulinella chromatophora	Paulinella chromatophora
species436	Thaumatomastix sp.	Thaumatomastix sp.
species437	Cronartium quercuum	Cronartium quercuum
species438	F. boothii	Fusarium boothii
species438	F. graminearum	Fusarium graminearum
species438	Fusarium boothii	Fusarium boothii
species438	Fusarium graminearum	Fusarium graminearum
species439	A. areolatum	Amylostereum areolatum
species439	Amylostereum areolatum	Amylostereum areolatum
species440	Bombyx mori	Bombyx mori
species440	C. pipiens	Culex pipiens
species440	Culex pipiens	Culex pipiens
species440	Drosophila melanogaster	Drosophila melanogaster
species442	Amoebophrya sp.	Amoebophrya sp.
species442	Amoebophrya spp.	Amoebophrya spp.
species442	Scrippsiella trochoidea	Scrippsiella trochoidea
species444	Aspergillus parasiticus	Aspergillus parasiticus
species446	Barbarea spp.	Barbarea spp.
species446	Barbarea vulgaris	Barbarea vulgaris
species446	Plutella xylostella	Plutella xylostella
species447	Helianthus annuus	Helianthus annuus
species449	Cyanidioschyzon merolae	Cyanidioschyzon merolae
species449	Tetrahymena thermophila	Tetrahymena thermophila
species450	Aureococcus anophagefferens	Aureococcus anophagefferens
species450	Ochromonas danica	Ochromonas danica
species450	Phytophthora nicotianae	Phytophthora nicotianae
species450	Phytophthora species	Phytophthora species
species450	Scytosiphon lomentaria	Scytosiphon lomentaria
species450	T. weissflogii	Thalassiosira weissflogii
species450	Thalassiosira pseudonana	Thalassiosira pseudonana
species451	P. caudatum	Paramecium caudatum
species451	Paramecium caudatum	Paramecium caudatum
species452	Turdus torquatus	Turdus torquatus
species461	Camponotus herculeanus	Camponotus herculeanus
species461	F. aquilonia	Formica aquilonia
species461	Formica aquilonia	Formica aquilonia
species462	F. graminearum	Fusarium graminearum
species462	Fusarium graminearum	Fusarium graminearum
species466	Picea glauca	Picea glauca
species467	Populus trichocarpa x deltoides	Populus deltoides ⨉ trichocarpa
species468	Populus trichocarpa	Populus trichocarpa
species470	B. mori	Bombyx mori
species470	Bombyx mori	Bombyx mori
species470	D. melanogaster	Drosophila melanogaster
species470	Drosophila melanogaster	Drosophila melanogaster
species470	S. littoralis	Spodoptera littoralis
species470	Spodoptera littoralis	Spodoptera littoralis
species472	L. tridentata	Larrea tridentata
species472	Larrea tridentata	Larrea tridentata
species474	Klebsiella pneumoniae	Klebsiella pneumoniae
species476	Medicago sativa	Medicago sativa
species476	S. meliloti	Sinorhizobium meliloti
species476	Sinorhizobium meliloti	Sinorhizobium meliloti
species478	Triticum aestivum	Triticum aestivum
species479	Escherichia coli	Escherichia coli
species479	Oryza rufipogon	Oryza rufipogon
species479	Oryza sativa	Oryza sativa
species480	P. citri	Panonychus citri
species480	Panonychus citri	Panonychus citri
species480	Tetranychus urticae	Tetranychus urticae
species482	Chelonia mydas	Chelonia mydas
species484	Gibberella zeae	Gibberella zeae
species488	Rupicapra rupicapra	Rupicapra rupicapra
species489	A. annua	Artemisia annua
species489	Artemisia annua	Artemisia annua
species491	N. tetrasperma	Neurospora tetrasperma
species491	Neurospora crassa	Neurospora crassa
species491	Neurospora tetrasperma	Neurospora tetrasperma
species492	C. albicans	Candida albicans
species492	Candida albicans	Candida albicans
species493	Auricularia auricula-judae	Auricularia auriculajudae
species493	Leptogium saturninum	Leptogium saturninum
species493	Neosartorya fischeri	Neosartorya fischeri
species493	Penicillium marneffei	Penicillium marneffei
species494	M. luteolus	Metaphycus luteolus
species494	Metaphycus luteolus	Metaphycus luteolus
species495	B. terrestris	Bombus terrestris
species495	Bombus terrestris	Bombus terrestris
species496	Ae. aegypti	Aedes aegypti
species496	Aedes aegypti	Aedes aegypti
species496	An. gambiae	Anopheles gambiae
species496	Anopheles gambiae	Anopheles gambiae
species496	Anopheles quadrimaculatus	Anopheles quadrimaculatus
species497	K. subtilissimum	Klebsormidium subtilissimum
species497	Klebsormidium flaccidum	Klebsormidium flaccidum
species497	S. chloranthus	Stichococcus chloranthus
species497	Stichococcus bacillaris	Stichococcus bacillaris
species497	Uronema sp.	Uronema sp.
species498	Oryza sativa	Oryza sativa
species500	A. whisleri	Abeoforma whisleri
species500	Abeoforma whisleri	Abeoforma whisleri
species500	P. gemmata	Pirum gemmata
species500	Pirum gemmata	Pirum gemmata
species501	Pieris brassicae	Pieris brassicae
species502	H. virescens	Heliothis virescens
species502	Heliothis virescens	Heliothis virescens
species503	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species504	H. subflexa	Heliothis subflexa
species504	Heliothis subflexa	Heliothis subflexa
species504	Heliothis virescens	Heliothis virescens
species505	Escherichia coli	Escherichia coli
species506	B. dermatitidis	Blastomyces dermatitidis
species506	Blastomyces dermatitidis	Blastomyces dermatitidis
species506	E. parva	Emmonsia parva
species506	Emmonsia parva	Emmonsia parva
species506	Escherichia coli	Escherichia coli
species506	Histoplasma capsulatum	Histoplasma capsulatum
species506	P. brasiliensis	Paracoccidioides brasiliensis
species506	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis
species507	Aspergillus nidulans	Aspergillus nidulans
species507	N. crassa	Neurospora crassa
species507	Neurospora crassa	Neurospora crassa
species508	N. crassa	Neurospora crassa
species508	Neurospora crassa	Neurospora crassa
species509	P. brasiliensis	Paracoccidioides brasiliensis
species509	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis
species509	Paracoccidioides lutzii	Paracoccidioides lutzii
species510	Cryptococcus neoformans	Cryptococcus neoformans
species511	Magnaporthe oryzae	Magnaporthe oryzae
species516	Rhizomastix biflagellata	Rhizomastix biflagellata
species516	Rhizomastix species	Rhizomastix species
species517	Helicoverpa armigera	Helicoverpa armigera
species522	Ae. aegypti	Aedes aegypti
species522	Aedes aegypti	Aedes aegypti
species523	Citrus volkameriana	Citrus volkameriana
species525	A. nidulans	Aspergillus nidulans
species525	Aspergillus fumigatus	Aspergillus fumigatus
species525	Aspergillus nidulans	Aspergillus nidulans
species525	Escherichia coli	Escherichia coli
species525	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species526	Xanthomonas oryzae	Xanthomonas oryzae
species527	A. assamensis	Antheraea assamensis
species527	Antheraea assamensis	Antheraea assamensis
species527	L. monopetala	Litsea monopetala
species527	Litsea monopetala	Litsea monopetala
species527	P. bombycina	Persea bombycina
species527	Persea bombycina	Persea bombycina
species528	Drosophila melanogaster	Drosophila melanogaster
species529	R. appendiculatus	Rhipicephalus appendiculatus
species529	Rhipicephalus appendiculatus	Rhipicephalus appendiculatus
species529	Rhipicephalus microplus	Rhipicephalus microplus
species530	N. lugens	Nilaparvata lugens
species530	Nilaparvata lugens	Nilaparvata lugens
species531	S. canaliculata	Sinophysis canaliculata
species531	Sinophysis canaliculata	Sinophysis canaliculata
species532	Corynebacterium glutamicum	Corynebacterium glutamicum
species533	B. bifidum	Bifidobacterium bifidum
species533	Bifidobacterium bifidum	Bifidobacterium bifidum
species534	Manihot glaziovii	Manihot glaziovii
species535	Acrocephalus sechellensis	Acrocephalus sechellensis
species536	Ch. velia	Chromera velia
species536	Chromera velia	Chromera velia
species536	Colpodella edax	Colpodella edax
species539	L. japonicus	Lotus japonicus
species539	Lotus japonicus	Lotus japonicus
species539	M. loti	Mesorhizobium loti
species539	Mesorhizobium loti	Mesorhizobium loti
species541	M. oryzae	Magnaporthe oryzae
species541	Magnaporth oryzae	Magnaporth oryzae
species541	Magnaporthe oryzae	Magnaporthe oryzae
species541	Oryza sativa	Oryza sativa
species542	A. percula	Amphiprion percula
species542	Amphiprion percula	Amphiprion percula
species542	Heteractis magnifica	Heteractis magnifica
species545	L. pneumophila	Legionella pneumophila
species545	Legionella pneumophila	Legionella pneumophila
species545	S. pyogenes	Streptococcus pyogenes
species545	Streptococcus pyogenes	Streptococcus pyogenes
species550	Methanoregula boonei	Methanoregula boonei
species551	Coregonus species	Coregonus species
species551	Coregonus spp.	Coregonus spp.
species554	S. cerevisiae	S. cerevisiae
species555	Agrobacterium tumefaciens	Agrobacterium tumefaciens
species555	Verticillium dahliae	Verticillium dahliae
species558	Aspergillus fumigatus	Aspergillus fumigatus
species558	Candida albicans	Candida albicans
species558	Candida glabrata	Candida glabrata
species558	Candida tropicalis	Candida tropicalis
species558	Fusarium spp	Fusarium spp.
species558	Kluyveromyces marxianus	Kluyveromyces marxianus
species558	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species558	T. brevicompactum	Trichoderma brevicompactum
species558	Trichoderma brevicompactum	Trichoderma brevicompactum
species559	Galleria mellonella	Galleria mellonella
species559	Microsporum gypseum	Microsporum gypseum
species559	Trichophyton rubrum	Trichophyton rubrum
species562	Chrysodeixis chalcites	Chrysodeixis chalcites
species562	Spodoptera exigua	Spodoptera exigua
species562	Spodoptera litura	Spodoptera litura
species562	Trichoplusia ni	Trichoplusia ni
species564	Aspidisca cicada	Aspidisca cicada
species564	Holophrya discolor	Holophrya discolor
species564	Plagiocampa rouxi	Plagiocampa rouxi
species564	Trithigmostoma cucullulus	Trithigmostoma cucullulus
species564	Trochilia minuta	Trochilia minuta
species565	F. oxysporum	Fusarium oxysporum
species565	Fusarium oxysporum	Fusarium oxysporum
species565	G. mellonella	Galleria mellonella
species565	Galleria mellonella	Galleria mellonella
species567	B. terrestris	Bombus terrestris
species567	Bombus terrestris	Bombus terrestris
species570	G. sulfurreducens	Geobacter sulfurreducens
species570	Geobacter sulfurreducens	Geobacter sulfurreducens
species571	Baikalospongia intermedia	Baikalospongia intermedia
species571	Baikalospongia recta	Baikalospongia recta
species571	Gyrodinium helveticum	Gyrodinium helveticum
species571	Lubomirskia incrustans	Lubomirskia incrustans
species572	Macaca mulatta	Macaca mulatta
species573	Tuber melanosporum	Tuber melanosporum
species574	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species575	Sepia apama	Sepia apama
species576	M. australis	Melanotaenia australis
species576	Melanotaenia australis	Melanotaenia australis
species577	T. melanosporum	Tuber melanosporum
species577	Tuber melanosporum	Tuber melanosporum
species578	Acineria uncinata	Acineria uncinata
species578	Opercularia coarctata	Opercularia coarctata
species578	Vorticella infusionum	Vorticella infusionum
species580	E. amylovora	Erwinia amylovora
species580	E. tasmaniensis	Erwinia tasmaniensis
species580	Erwinia amylovora	Erwinia amylovora
species580	Erwinia tasmaniensis	Erwinia tasmaniensis
species581	Trichosurus vulpecula	Trichosurus vulpecula
species582	P. coloniale	Prasinoderma coloniale
species582	Prasinoderma coloniale	Prasinoderma coloniale
species582	Prasinoderma singularis	Prasinoderma singularis
species583	Helicostomella subulata	Helicostomella subulata
species585	S. sanguinis	Streptococcus sanguinis
species585	Streptococcus sanguinis	Streptococcus sanguinis
species587	Saccharophagus degradans	Saccharophagus degradans
species588	Bacillus subtilis	Bacillus subtilis
species589	Synechocystis sp.	Synechocystis sp.
species591	Parvularcula bermudensis	Parvularcula bermudensis
species592	Bacillus species	Bacillus species
species592	Bacillus subtilis	Bacillus subtilis
species593	Escherichia coli	Escherichia coli
species594	Corynebacterium pseudotuberculosis	Corynebacterium pseudotuberculosis
species595	Escherichia coli	Escherichia coli
species596	E. coli	Escherichia coli
species596	Escherichia coli	Escherichia coli
species596	Salmonella enterica	Salmonella enterica
species597	Salmonella enterica	Salmonella enterica
species598	A. tumefaciens	Agrobacterium tumefaciens
species598	Agrobacterium tumefaciens	Agrobacterium tumefaciens
species598	Escherichia coli	Escherichia coli
species598	M. loti	Mesorhizobium loti
species598	Mesorhizobium loti	Mesorhizobium loti
species598	R. etli	Rhizobium etli
species598	Rhizobium etli	Rhizobium etli
species598	S. meliloti	Sinorhizobium meliloti
species598	Sinorhizobium meliloti	Sinorhizobium meliloti
species599	Maribacter sp.	Maribacter sp.
species600	F. gelidilacus	Flavobacterium gelidilacus
species600	Flavobacterium gelidilacus	Flavobacterium gelidilacus
species600	Flavobacterium ponti	Flavobacterium ponti
species601	Thermasporomyces composti	Thermasporomyces composti
species602	Phycicoccus bigeumensis	Phycicoccus bigeumensis
species602	Phycicoccus cremeus	Phycicoccus cremeus
species602	Phycicoccus dokdonensis	Phycicoccus dokdonensis
species603	Salmonella enterica	Salmonella enterica
species604	Pseudomonas aeruginosa	Pseudomonas aeruginosa
species607	Coccinella septempunctata	Coccinella septempunctata
species607	Geocoris bullatus	Geocoris bullatus
species607	Hippodamia convergens	Hippodamia convergens
species607	Nabis alternatus	Nabis alternatus
species608	P. africana	Pseudonebela africana
species608	Pseudonebela africana	Pseudonebela africana
species609	C. albicans	Candida albicans
species609	Candida albicans	Candida albicans
species609	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species611	B. cinerea	Botrytis cinerea
species611	Botrytis cinerea	Botrytis cinerea
species611	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species615	C. cantabrigiensis	Copromyxa cantabrigiensis
species615	C. protea	Copromyxa protea
species615	Copromyxa protea	Copromyxa protea
species615	H. cantabrigiensis	Hartmannella cantabrigiensis
species615	Hartmannella cantabrigiensis	Hartmannella cantabrigiensis
species615	Hartmannella sp.	Hartmannella sp.
species617	T. melanosporum	Tuber melanosporum
species617	Tuber melanosporum	Tuber melanosporum
species620	Mus domesticus	Mus domesticus
species621	Cyphorhinus phaeocephalus	Cyphorhinus phaeocephalus
species623	Nicotiana benthamiana	Nicotiana benthamiana
species623	Pseudomonas syringae	Pseudomonas syringae
species624	Ae. aegypti	Aedes aegypti
species624	Aedes aegypti	Aedes aegypti
species625	An. gambiae	Anopheles gambiae
species625	Anopheles gambiae	Anopheles gambiae
species626	C. plutellae	Cotesia plutellae
species626	Plutella xylostella	Plutella xylostella
species628	Carcharhinus leucas	Carcharhinus leucas
species628	Galeocerdo cuvier	Galeocerdo cuvier
species629	Falco rusticolus	Falco rusticolus
species629	Lagopus lagopus	Lagopus lagopus
species630	Belostoma sp.	Belostoma sp.
species630	Dendropsophus ebraccatus	Dendropsophus ebraccatus
species631	Magnaporthe oryzae	Magnaporthe oryzae
species631	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species632	L. lactis	Lactococcus lactis
species632	Lactococcus lactis	Lactococcus lactis
species633	Bombus terrestris	Bombus terrestris
species633	C. bombi	Crithidia bombi
species633	Crithidia bombi	Crithidia bombi
species634	Bdellovibrio bacteriovorus	Bdellovibrio bacteriovorus
species635	V. cholerae	Vibrio cholerae
species635	Vibrio cholerae	Vibrio cholerae
species636	B. bacteriovorus	Bdellovibrio bacteriovorus
species636	Bdellovibrio bacteriovorus	Bdellovibrio bacteriovorus
species637	Escherichia coli	Escherichia coli
species638	Oryza sativa	Oryza sativa
species639	Salmonella enterica	Salmonella enterica
species640	E. coli	Escherichia coli
species640	Escherichia coli	Escherichia coli
species641	M. tuberculosis	Mycobacterium tuberculosis
species641	Mycobacterium tuberculosis	Mycobacterium tuberculosis
species642	Oryza sativa	Oryza sativa
species646	Pseudoentodinium elephantis	Pseudoentodinium elephantis
species646	Raabena bella	Raabena bella
species646	T. antis	Triplumaria antis
species646	T. dvoinosi	Triplumaria dvoinosi
species646	T. fulgora	Triplumaria fulgora
species646	T. grypoclunis	Triplumaria grypoclunis
species646	T. harpagonis	Triplumaria harpagonis
species646	T. selenica	Triplumaria selenica
species646	T. solea	Triplumaria solea
species646	T. sukuna	Triplumaria sukuna
species646	T. suwako	Triplumaria suwako
species646	T. zuze	Triplumaria zuze
species646	Triplumaria species	Triplumaria species
species647	Phytophthora ramorum	Phytophthora ramorum
species648	Quercus petraea	Quercus petraea
species649	R. prolixus	Rhodnius prolixus
species649	Rhodnius prolixus	Rhodnius prolixus
species650	A. petiolata	Alliaria petiolata
species650	Alliaria petiolata	Alliaria petiolata
species651	Colpoda aspera	Colpoda aspera
species654	S. ratti	Streptococcus ratti
species654	S. ursoris	Streptococcus ursoris
species654	Streptococcus ratti	Streptococcus ratti
species654	Streptococcus ursoris	Streptococcus ursoris
species659	Rumex palustris	Rumex palustris
species662	M. bovis	Mycobacterium bovis
species662	Mycobacterium bovis	Mycobacterium bovis
species665	Bacillus subtilis	Bacillus subtilis
species665	Escherichia coli	Escherichia coli
species667	Mycoplasma pneumoniae	Mycoplasma pneumoniae
species668	Bacillus thuringiensis	Bacillus thuringiensis
species668	Pectinophora gossypiella	Pectinophora gossypiella
species669	Erythrura gouldiae	Erythrura gouldiae
species669	Poephila acuticauda	Poephila acuticauda
species670	B. subtilis	Bacillus subtilis
species670	Bacillus subtilis	Bacillus subtilis
species671	Somateria mollissima	Somateria mollissima
species672	Escherichia coli	Escherichia coli
species673	C. heterostrophus	Cochliobolus heterostrophus
species673	C. luttrellii	Cochliobolus luttrellii
species673	Cochliobolus heterostrophus	Cochliobolus heterostrophus
species673	Cochliobolus luttrellii	Cochliobolus luttrellii
species673	Cochliobolus spp.	Cochliobolus spp.
species674	N. farcinica	Nocardia farcinica
species674	Nocardia farcinica	Nocardia farcinica
species677	Bombyx mori	Bombyx mori
species678	Drosophila melanogaster	Drosophila melanogaster
species684	A. castellanii	Acanthamoeba castellanii
species684	Acanthamoeba castellanii	Acanthamoeba castellanii
species684	Dictyostelium amoebae	Dictyostelium amoebae
species686	Hypocrea jecorina	Hypocrea jecorina
species686	Trichoderma reesei	Trichoderma reesei
species687	Penaeus stylirostris	Penaeus stylirostris
species687	Penaeus vannamei	Penaeus vannamei
species688	Litoreibacter albidus	Litoreibacter albidus
species688	Litoreibacter janthinus	Litoreibacter janthinus
species688	Umbonium costatum	Umbonium costatum
species689	Methanobacterium arcticum	Methanobacterium arcticum
species689	Methanobacterium bryantii	Methanobacterium bryantii
species689	Methanobacterium veterum	Methanobacterium veterum
species690	Thiomonas intermedia	Thiomonas intermedia
species690	Thiomonas islandica	Thiomonas islandica
species690	Thiomonas perometabolis	Thiomonas perometabolis
species691	Drosophila melanogaster	Drosophila melanogaster
species691	P. striolata	Phyllotreta striolata
species691	Phyllotreta striolata	Phyllotreta striolata
species692	Anoxybacillus eryuanensis	Anoxybacillus eryuanensis
species692	Anoxybacillus species	Anoxybacillus species
species692	Anoxybacillus tengchongensis	Anoxybacillus tengchongensis
species693	N. animaloris	Neisseria animaloris
species693	N. bacilliformis	Neisseria bacilliformis
species693	N. canis	Neisseria canis
species693	N. dentiae	Neisseria dentiae
species693	N. weaveri	Neisseria weaveri
species693	N. zoodegmatis	Neisseria zoodegmatis
species693	Neisseria canis	Neisseria canis
species693	Neisseria shayeganii	Neisseria shayeganii
species693	Neisseria species	Neisseria species
species693	Neisseria wadsworthii	Neisseria wadsworthii
species697	E. coli	Escherichia coli
species697	Escherichia coli	Escherichia coli
species698	Acetobacterium woodii	Acetobacterium woodii
species698	Escherichia coli	Escherichia coli
species699	B. anthracis	Bacillus anthracis
species699	B. cereus	Bacillus cereus
species699	B. subtilis	Bacillus subtilis
species699	Bacillus anthracis	Bacillus anthracis
species699	Bacillus cereus	Bacillus cereus
species699	Bacillus species	Bacillus species
species699	Bacillus subtilis	Bacillus subtilis
species700	Fusarium graminearum	Fusarium graminearum
species701	Myxococcus xanthus	Myxococcus xanthus
species703	B. rhizoxinica	Burkholderia rhizoxinica
species703	Burkholderia rhizoxinica	Burkholderia rhizoxinica
species703	Rhizopus microsporus	Rhizopus microsporus
species704	F. johnsoniae	Flavobacterium johnsoniae
species704	Flavobacterium johnsoniae	Flavobacterium johnsoniae
species704	P. gingivalis	Porphyromonas gingivalis
species704	Porphyromonas gingivalis	Porphyromonas gingivalis
species705	An. peditaeniatus	Anopheles peditaeniatus
species705	Anopheles peditaeniatus	Anopheles peditaeniatus
species707	E. conspersus	Euschistus conspersus
species707	Euschistus conspersus	Euschistus conspersus
species708	S. fibuligera	Saccharomycopsis fibuligera
species708	Saccharomycopsis fibuligera	Saccharomycopsis fibuligera
species709	Salmo trutta	Salmo trutta
species709	Salvelinus alpinus	Salvelinus alpinus
species710	A. niger	Aspergillus niger
species710	Aspergillus fumigatus	Aspergillus fumigatus
species710	Aspergillus niger	Aspergillus niger
species712	Escherichia coli	Escherichia coli
species714	Flavobacterium sinopsychrotolerans	Flavobacterium sinopsychrotolerans
species716	Escherichia coli	Escherichia coli
species716	R. prolixus	Rhodnius prolixus
species716	Rhodnius prolixus	Rhodnius prolixus
species716	Trypanosoma cruzi	Trypanosoma cruzi
species717	Scardovia inopinata	Scardovia inopinata
species717	Scardovia wiggsiae	Scardovia wiggsiae
species718	Larkinella bovis	Larkinella bovis
species718	Larkinella insperata	Larkinella insperata
species721	Nicotiana benthamiana	Nicotiana benthamiana
species721	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species728	Trichosurus vulpecula	Trichosurus vulpecula
species733	M. aeneus	Monodontomerus aeneus
species733	Monodontomerus aeneus	Monodontomerus aeneus
species733	O. cornuta	Osmia cornuta
species733	Osmia cornuta	Osmia cornuta
species737	S. virgatus	Sceloporus virgatus
species737	Sceloporus virgatus	Sceloporus virgatus
species738	H. armigera	Helicoverpa armigera
species738	H. zea	Helicoverpa zea
species738	Helicoverpa armigera	Helicoverpa armigera
species738	Helicoverpa assulta	Helicoverpa assulta
species738	Helicoverpa zea	Helicoverpa zea
species739	Loxodonta cyclotis	Loxodonta cyclotis
species740	Mantamonas plastica	Mantamonas plastica
species742	L. pneumophila	Legionella pneumophila
species742	Legionella pneumophila	Legionella pneumophila
species744	Thlaspi caerulescens	Thlaspi caerulescens
species745	Apis mellifera	Apis mellifera
species745	Solenopsis invicta	Solenopsis invicta
species747	T. castaneum	Tribolium castaneum
species747	Tribolium castaneum	Tribolium castaneum
species748	Dermacentor variabilis	Dermacentor variabilis
species751	Acer pseudoplatanus	Acer pseudoplatanus
species752	Candida albicans	Candida albicans
species753	Drosophila melanogaster	Drosophila melanogaster
species755	Escherichia coli	Escherichia coli
species755	S. negevensis	Simkania negevensis
species755	Simkania negevensis	Simkania negevensis
species756	X. campestris	Xanthomonas campestris
species756	Xanthomonas campestris	Xanthomonas campestris
species759	C. albicans	Candida albicans
species759	Candida albicans	Candida albicans
species760	C. albicans	Candida albicans
species760	Candida albicans	Candida albicans
species760	S. cerevisiae	Saccharomyces cerevisiae
species760	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species761	M. cerradensis	Mycetagroicus cerradensis
species761	Mycetagroicus cerradensis	Mycetagroicus cerradensis
species762	S. invicta	Solenopsis invicta
species762	Solenopsis invicta	Solenopsis invicta
